CONS_NO,g3_score,g3_label,FLAG,user_score,pred_interval_start,pred_interval_end,interval_confidence
C4915D7E6F71A05A21DCA56AA28EE9D6,34383.74609375,1,1,0.84553254,27,28,0.2204041145741939
024BF86C8D931ABAAF626317DC2E67DA,22855.771484375,1,1,0.3052742,11,19,0.0582981320718924
1C090A25BA5991349EB940D839A3084A,40640.1484375,1,1,0.6377265,19,33,0.0438224799931049
69347E9D3953D22D3C52B964B1270935,40039.015625,1,1,0.9179503,13,15,0.2303954288363456
C2D753CC4560F1A6A9099F6859E6E728,24703.919921875,1,1,0.9009649,11,12,0.2941591963171959
4BA0F954979FABF38CF0C6CDDD4EBBDC,40013.9296875,1,1,0.7441719,1,33,0.0295635663382144
54624750B7C0A353A21A509B0582C49A,41352.85546875,1,1,0.95306915,33,33,0.6425486207008362
2A37DDA40193664AB77AD2CDB3427365,20741.826171875,1,1,0.106755055,11,17,0.1152521691152027
EF6FB588B90B86E7B11EA1DA8E66A579,39582.3359375,1,1,0.8749547,19,20,0.2713230922818184
1372264AA974605C750DFDD62BFC4062,39736.71875,1,1,0.9007852,28,33,0.1478168311684081
40A9350605B9FF747D0880B85A83450A,36335.34375,1,1,0.97215724,15,16,0.4316068589687347
BBA036B96BAF5611A21610411E511ACD,41550.765625,1,1,0.9588938,9,9,0.5839143395423889
BED1B8C8272AA25499B0E458E1419EC7,40604.67578125,1,1,0.8848885,20,20,0.5277167558670044
010AD5065C4D231D00D36E36D3BEB859,41406.99609375,1,1,0.81453186,32,33,0.184327632188797
870F304A240856A5D2384EFCA1203170,35003.6953125,1,1,0.50554276,15,32,0.0406948965974152
39CC2B755A9339443E0155634CA7C6D4,41566.87109375,1,1,0.92517704,0,26,0.0304356741706012
975FC40987A3E65602FFFFAF20DEC596,34694.4375,1,1,0.5743151,32,33,0.1153318136930465
E30540A0B79E99305047DDF487494A16,40011.8828125,1,1,0.9256073,25,32,0.0831668689497746
4E954A4E6F17FC88B0CB8084B6B12364,35395.03125,1,1,0.6475201,8,9,0.142893511801958
D1160194CE7C012ACED86C7418BB5340,38828.84765625,1,1,0.8736117,6,32,0.0319723561923536
4A98563829B8F0D1BF6A4A6B3A367FC9,31895.794921875,1,1,0.90730214,9,26,0.0412408592852039
461A116AD32BA0FF8ED82D320217C22E,40220.87109375,1,1,0.9289096,2,33,0.03095765701255
ABD3396FAE9A0AFACC1A0411C96FB74A,41783.109375,1,1,0.90050507,0,1,0.2703934460878372
0A2F5CBB74C654F66595674287770BE2,35909.27734375,1,1,0.80841017,26,32,0.0920585303434303
9C2EF537274B51FA8FD24543A8E078D0,36875.3671875,1,1,0.38301474,14,29,0.0344247386674396
C8B41569B929459C4CBB615553BA0B2D,24150.744140625,1,1,0.8951346,11,14,0.1909033693373203
EA64171AF04C9EE905F4921C02F17952,41154.609375,1,1,0.9634527,32,33,0.4028761833906173
B3B4BDA2A3B34F3D8C56B25AD104EC7C,41336.2890625,1,1,0.9043755,32,32,0.4192649722099304
481AFF61645E4ADF79F86B230A288726,38518.00390625,1,1,0.8636144,26,26,0.4917828142642975
1C00BB2E851B50CF3DA33517F71D23C5,42196.95703125,1,1,0.9495317,25,33,0.1004553159905804
C4E56354666D71B76DD0880E7979B328,42065.32421875,1,1,0.93905056,26,33,0.1153271513903746
EA85331658140AAD231ED5858BAE64FC,28391.35546875,1,1,0.89223474,22,29,0.0863455494400113
E0C06F119A4F7B63634DB27A6ACE3BF4,32564.45703125,1,1,0.31178027,2,15,0.048081697330677
DE8AB3DDAA5E8276CC6FB05D045345D2,42020.5546875,1,1,0.9103118,4,29,0.0346088094833808
2BBB4ECA7499E5F785B1EDF1FC754834,37593.32421875,1,1,0.8723764,19,26,0.0844126090523786
98E17AD63667CC656B73F999F6FBACA8,40745.375,1,1,0.93561655,25,30,0.1325237885660802
C51F242260112636B95F316656301FAF,41540.97265625,1,1,0.97433555,32,32,0.7055411338806152
FD861B89684BFD02A12356707D461578,41806.140625,1,1,0.9795232,32,32,0.7453705668449402
77DD7F0F61508AD1F2D8A9CA1DD8D396,41590.6953125,1,1,0.86582583,8,17,0.0736905195750296
B765254800E48BB4887A3458A2FE4F7F,37159.7421875,1,1,0.2646473,12,17,0.0693603220085303
CDBFE28FA28D9C285A4B64D46AF38220,30530.7421875,1,1,0.9395891,26,26,0.5852765440940857
76CECEAC952F92755AFB297B58D2045D,41669.01171875,1,1,0.9645342,33,33,0.6855392456054688
1E326172C646A418289C4A0070D32D30,42312.99609375,1,1,0.90918666,6,8,0.2155920704826712
D7B9C91A6CEEC675D88B7445B88A6C64,40631.11328125,1,1,0.82928,26,31,0.1074331433822711
33FC6F6D4F8F3787FA0314DFD76E17D3,36331.1953125,1,1,0.8949193,24,31,0.0772698720102198
8DB91C5404B043130B540FC43DC48B25,26558.712890625,1,1,0.74882305,7,24,0.0397083769138488
AEA4F55CE4EC2268D84D6D2A2897628D,41740.5859375,1,1,0.99566734,33,33,0.9648473858833312
5B287E5C1A0B026E1592B9F321088334,21925.81640625,1,1,0.6662791,26,32,0.0581647246809942
A3DC09520900B83123A7D3352532454F,26897.025390625,1,1,0.7673676,16,17,0.2669005841016769
3AB99E20C2FA51278D4655A0C8EDD09A,35193.25390625,1,1,0.8234522,7,7,0.3628577589988708
1B4B54C17ECCB0DF9AA07EADCC93C8FE,41402.91796875,1,1,0.9886282,28,28,0.90096777677536
6267381009A3E393ACED934BA15DC7BF,34881.7421875,1,1,0.27984315,11,17,0.0679864608017461
725F7ACD041750F99CCE33359E881BD8,36873.71484375,1,1,0.92068833,33,33,0.4696190655231476
8D4D278ACA01D290B0116A2B14A34455,40047.26171875,1,1,0.8089557,9,33,0.0327300267294049
BC6E230548A7430551C00A407BE5E397,40673.79296875,1,1,0.7524025,8,10,0.1561801210045814
E720AD5712B7107D028A6C19A099600F,33164.71875,1,1,0.31892884,9,14,0.1047234646975994
4211FE81A01543F146C1156668D3C6E2,39484.6953125,1,1,0.7872434,7,24,0.0523164327670302
86389EE6F32A43F90209F552BB623254,42049.1953125,1,1,0.90748096,0,25,0.0315695959501541
8E20942291DBB0C80CF3B2EFFF305CC0,39619.2421875,1,1,0.79237396,20,33,0.0525533109903335
9928B090D98C8FF51A33302972CFB5D0,30596.484375,1,1,0.86776537,19,33,0.0555027608138819
C8B6DB88618B6F5329BE597A3B3005AD,15647.0322265625,1,1,0.13275076,11,17,0.103843191904681
77C2506D96B1AE15E609C7697C056AAC,41939.859375,1,1,0.9857226,33,33,0.8736843466758728
F331105748AE7889F608BF536F089297,33738.3671875,1,1,0.63470167,29,33,0.074301403388381
9B4AC0FDD7992A99E041ADB1D5A47C4B,32246.734375,1,1,0.6906858,20,33,0.0412751859320061
A4D3EE33E8B64C3DB4CD545D3C25F725,35736.8828125,1,1,0.89858085,31,33,0.2020661272108554
02FBD77F2625978935CD671F36563A2C,15161.798828125,1,1,0.14219299,11,17,0.1058281095964568
4873ABF4EA23900D5C14BBB2BC3DDC87,40981.3671875,1,1,0.7448161,25,33,0.0771878377224008
DCD7B1A7207B1C438E226DC182D13576,30660.755859375,1,1,0.3960914,3,3,0.1615242213010788
CE7C047307E1E0D4DACD863E1B032BDD,41789.66796875,1,1,0.89545435,30,32,0.2235271583000818
07AEB4D3D4C4BC648349E39839A3637B,40820.4296875,1,1,0.96693337,7,9,0.2579341263820727
D82D7EEF044DD10DB6B802022A270EC6,25794.962890625,1,1,0.523372,33,33,0.1170832067728042
9BFB123F8F4963A8F772808DCA54531E,37431.52734375,1,1,0.64081407,13,13,0.3768716156482696
97C907CAA96121EAD4AEA1B35EB514E9,40923.67578125,1,1,0.9274517,5,10,0.1340112627173463
AB23E6E81C05B579285C5FA927D68E4D,32859.640625,1,1,0.5861885,20,33,0.0383035194660936
C2D6E22BB53D4940E022B4A107E203B3,41312.484375,1,1,0.83879244,1,32,0.0287591008163872
BBF1A5F01F7AA846974A87DED8D50E1D,41972.6484375,1,1,0.51835966,7,17,0.0349826955829154
2282C792CCDD7EF7B66E2FE8E96DEDAC,39531.265625,1,1,0.46445608,0,28,0.029462506545001
BA97441D72060E21BA744102EEFD995F,19371.734375,1,1,0.35403317,11,20,0.0462767004966735
DC9D17052A3BE6ACA1F12D9E9FEFB162,32363.619140625,1,1,0.14121209,0,17,0.0514745499466597
20529909E4ACF1C06FC86C299CEA7816,31998.86328125,1,1,0.9523631,31,31,0.6153286695480347
06B225C6507B448CD48238E4AFD8E245,31069.9765625,1,1,0.41082862,12,14,0.0738062684734662
F9DBC7B29BCD069FB5ABF0BA54007D6B,41164.06640625,1,1,0.88154244,26,31,0.1297266725450754
9158F90F84621FAEF6943B0AA2B2067A,41753.06640625,1,1,0.963305,33,33,0.7176517248153687
E0862CBD0464242E4A7CDABCED216CFE,40157.20703125,1,1,0.7050668,22,23,0.2467944920063018
9E19540D551751874FEDFE6A8ED1F50D,23354.4140625,1,1,0.4725947,11,18,0.0487482963362708
4AED483768BBEA3E08E4F3EB343E1398,41088.73046875,1,1,0.99497163,33,33,0.9511046409606934
1DC5D54F77F201FDF411BAFEA1431E77,41197.16015625,1,1,0.8565082,0,32,0.0295629739218081
8A3893A71BAF78ED6C32AE5E1DFA1E94,40310.3046875,1,1,0.89141405,5,11,0.0978177932889333
57DFEAABAA5ED03D90A524BF5B9B4303,36237.0625,1,1,0.73294735,1,32,0.0276209938892861
1D2ABA84ABB9E5BF86BB63F48AD0F921,41684.1640625,1,1,0.8711229,32,32,0.4756639003753662
68D809E234CB78E4E5ED9C5684B0E9F2,15832.625,1,1,0.1857751,2,17,0.0512826825288357
1998E1F498811FB5FB70A886D43AB083,37904.796875,1,1,0.7850978,24,29,0.0899733784608542
1243A4858DC0A82572598ADC5F7E3465,29780.716796875,1,1,0.8290596,8,33,0.0362637736655485
DE1E018C53E165D342881148EC2A15A6,28249.44921875,1,1,0.770397,20,33,0.0596652741410902
B8A80B60CD22C86D3F141251A49B16FC,41425.87890625,1,1,0.9706139,26,26,0.6893653273582458
72D2D903B6C65B427E7280AEBD83D167,22928.404296875,1,1,0.27126643,10,17,0.0556536288931965
6A4E006B8818390DC3DE2C5DA40E9F87,39709.390625,1,1,0.90497875,26,26,0.4950673878192901
7CE1E80DA20B9878A866B3AB6AE1EBCD,34760.96875,1,1,0.9461935,11,11,0.6379131078720093
1A6C6745AFC79996BC883BD1AC40C335,39278.11328125,1,1,0.92817694,16,32,0.047020168906516
1F7292E9D7255A6BCFF97F93C1FA4726,40391.13671875,1,1,0.99407804,26,26,0.8784551620483398
F49A7B93598D4B26EB645B57E2675243,40330.40234375,1,1,0.8388991,16,26,0.0614027798133478
84F4BFD7A75467F3B469A6787AA33AD8,41379.04296875,1,1,0.93188447,28,33,0.1509548872709274
366A34961B7262410150B1917D88254E,37072.38671875,1,1,0.5322042,5,6,0.1642059199512004
7516FBFFB7D39E03C89772161C7FDA98,39636.16015625,1,1,0.96906585,19,19,0.6703487634658813
1CFF62F95FBC4C973FF8678AC2B438FA,42222.9375,1,1,0.8349281,4,5,0.2365138828754425
1F81A6F7B03EA728C225B29F59A8C258,39568.7265625,1,1,0.92415553,9,32,0.0336719650949817
6BAED28FA2C707C0B5252E599AECE21C,31745.3515625,1,1,0.8982739,26,33,0.0967190166702494
F40D3A0A45C35A292B3ECDBC769B3AAC,35076.703125,1,1,0.6700106,22,29,0.0576597498729825
78DD6E5BBEA8051AB65627FB4E7AEA0F,41680.69140625,1,1,0.98431534,32,33,0.4775490015745163
6C5AA1EEEC3CEC535652CCE14BA49E70,1008.6165771484375,1,1,0.08191629,11,16,0.1391334335009257
78297F17CC7ECCBD07DFE236401E0B4F,40823.21484375,1,1,0.95592153,32,32,0.7128103375434875
3CE4D3438CEEF5F75F6E109D118ACECE,29789.671875,1,1,0.9974247,18,18,0.9689942002296448
885A7554AB657CB19E5C5318B7F84234,41830.390625,1,1,0.97005785,32,33,0.4261924624443054
AB9EC5009B95CC354EED52D021E8A7FF,34851.0859375,1,1,0.6816001,26,32,0.075660473534039
29C0D2219A24083323E9C7FA75B336C7,41797.5859375,1,1,0.9028956,0,33,0.0294117668766857
4AA7D333A0BFF0F2CAA02D98D645FBDA,31216.375,1,1,0.54202694,17,33,0.0370587946518379
4C07126084E751DAFFFB50884F0D66FB,19418.517578125,1,1,0.10965606,11,16,0.1298938704033692
8E3A88E35BCCB8A54087154A946CB8B3,34367.953125,1,1,0.6573283,26,29,0.1060187108814716
0A8FF0F7EE68CE6D37523985592CD5DE,41559.83203125,1,1,0.9394144,31,33,0.2669896399602294
0A5EEBBF665D8A1817463422D233E003,40263.21875,1,1,0.74144197,15,30,0.0492608579515945
4AAD82CF8FACFDB7107B4C6D688601E6,29395.15234375,1,1,0.38321063,12,28,0.0345842500819879
B7B9488E3A7EAC486091B31D26D822C2,33379.76171875,1,1,0.77104324,20,29,0.0667023364221677
6A649D6AED5BD9BA764D2845D837DBCA,39364.3359375,1,1,0.9911823,10,10,0.7760672569274902
5AA2B703114808CFCC04DC3923B99CA2,41532.984375,1,1,0.8670813,1,30,0.0298649427946656
AEC7DD89BF02F672CE1BCB2F0C100243,41839.18359375,1,1,0.9284047,32,33,0.3331547379493713
5EAEFAE1CCDE5EBA19ECB4AF8A02FBD5,30583.365234375,1,1,0.87437403,12,16,0.1633658319711685
A64E978A221146ACE5F56A876D7ACE42,39276.71875,1,1,0.9105375,20,20,0.5904185175895691
AD7D8E5FB1E5E263BE3C102B15190CC4,41387.44921875,1,1,0.8737721,29,33,0.1337809070944786
E369FC8334CC32C24FE9EFA2BE9CD88B,41428.1796875,1,1,0.9744376,32,32,0.734961211681366
D076FDC891800CA297B7CE4BEF149032,35954.47265625,1,1,0.7240659,0,31,0.0305349085610942
E3530276F259EB681821F7B8C7D32B62,41313.9921875,1,1,0.97994274,18,18,0.7852267622947693
1C5FCD01C6D2902AF47A0C40DA043AE0,39912.35546875,1,1,0.9019068,3,32,0.0294597380678169
E2551B69A0940465CC6DB75F84DC6B39,6198.1884765625,1,1,0.14407498,11,16,0.1066455369194348
6079E6DA93F6409DDB9C6CEBE2147A4B,7353.1513671875,1,1,0.17579411,12,16,0.102221505343914
9DB4E65129BBBCC19A43738E01983037,36821.203125,1,1,0.9698527,5,10,0.1532096275283644
9E617DFDC49CE425C06072169FBF35E2,38530.50390625,1,1,0.89306295,26,33,0.0852711472543887
75A4F877F978C77A91895D09346D5B10,38736.01171875,1,1,0.9441714,8,8,0.538124680519104
1D51DFEE0E7BB943085CA45E9F0A1E1B,31498.419921875,1,1,0.32268348,2,15,0.0578513801540663
64574F86AC8FCF815287681D4301399B,37918.41796875,1,1,0.8946004,31,33,0.209230396275719
C2376EE6B8ABDA9D42CC487E14A41B44,31720.59375,1,1,0.43444455,8,16,0.0540131247705883
12BC970F30356B88CFC8F226A79DE839,41649.27734375,1,1,0.96674114,32,32,0.6651201844215393
8A186DA960EABFA32799B305718B44BB,41358.72265625,1,1,0.9496874,28,29,0.3836600631475448
47860AF2FAE1E3BE2007D05B8DE7A72E,21222.75390625,1,1,0.20715465,12,16,0.0959398970007896
80F66F411D5F2CE95E1E96115DEA4DD7,40439.515625,1,1,0.9464382,32,32,0.5435436964035034
3391B26D7F0BB7D1D34C9A12FA0F39F6,42207.9375,1,1,0.9332555,20,32,0.0621700572888725
389817E04DC47E70572AAA9D4651BD4E,41570.4296875,1,1,0.9464556,3,5,0.2656540101937328
5FB75630AE956EA9D5978E1FC7C75FA6,28620.423828125,1,1,0.18321484,2,17,0.058393561849698
1D593809A8253365A0385894E1734960,35965.21484375,1,1,0.9746934,13,13,0.770128071308136
850DB31D373CB95A5F0616025CD95F25,32737.228515625,1,1,0.8608911,32,33,0.2691549360752105
107323A182164E600268471F326AE2F9,41886.68359375,1,1,0.99817646,33,33,0.9700563549995422
738BF721BF8DA7D6EA16BB1756C1AA13,34597.00390625,1,1,0.8797059,20,32,0.0546864167822954
1F7CFA116CE8F70AD0FE4C2DAE6A46BC,41825.94921875,1,1,0.9751821,25,25,0.6928079724311829
05255895C523A8E2CF7B9F592735C088,36746.62109375,1,1,0.6227072,14,14,0.4802402853965759
00855AAF5B5E7CF11A5260D3AD50B7C8,39591.69140625,1,1,0.92750853,26,32,0.1082534468067543
E3FE7F12034C1536967B77FF8D98589A,15306.294921875,1,1,0.69193155,32,33,0.1453955993056297
4DAD8184D2EFF0A5E3E1620F47B240A2,41109.796875,1,1,0.9261387,0,4,0.132086667837575
2DAD165F26724F2F05BD6D4E41610622,31259.63671875,1,1,0.46242338,4,17,0.0396255277363317
42084C1098984A196B73390B1B7E5E49,42267.05078125,1,1,0.9073117,8,9,0.2985349223017692
3BF175B5C64C487433127F3E704CE4C6,40291.859375,1,1,0.89846766,24,24,0.4577500820159912
066D5A56EFEDC34DFD45E062F3616C0A,41429.0546875,1,1,0.9591862,32,32,0.6868475675582886
00F61042F73D7816217B730996412CDF,38011.57421875,1,1,0.83141154,10,33,0.0363844075861076
BF3AF0F418A698861C7C1E240E94D1D8,29294.712890625,1,1,0.5421886,19,33,0.0450185697525739
AF6160A2F4D1C781F2E53CE3BF20D1FF,40714.0625,1,1,0.831751,0,4,0.1310892389155924
7CB99B63431A99173A069A14A3EC4CB8,39901.47265625,1,1,0.37389213,4,32,0.0308188423674939
19B06A8DA87FCC23320D34BCDB304ABE,33449.81640625,1,1,0.96565884,24,24,0.6849581599235535
70AA17144CD1050BB4F53EAAF04A7831,41990.75,1,1,0.96908444,33,33,0.6838653087615967
267A838C69D90CDC360B6BE96C32514C,36250.80859375,1,1,0.88630664,21,30,0.0789450094336643
F978E37F07DFA876D39E26A93A48CF58,31301.818359375,1,1,0.7751356,26,27,0.2046678885817527
E01AEAA994CE76728B36AFB3343FB702,5314.96435546875,1,1,0.22531463,0,15,0.0508092670352198
DD84D0147E3EE75CA6169F9F1BF47148,35110.58984375,1,1,0.7323671,20,29,0.0644484547898173
0F3EEE9E635AD8BE641C15C2DA373EE1,21779.119140625,1,1,0.73181707,13,26,0.0613453906428601
F89D550810D328DDB62F75BDDB533F95,40635.828125,1,1,0.77377975,6,7,0.1821470335125923
401F9CB3E844E131941AEE1C6E5E85BA,6703.63525390625,1,1,0.1678237,11,22,0.0735742086544632
5029B366625D273542878DD3B652740E,32536.263671875,1,1,0.79753053,12,33,0.0415073910579932
A00022708F69776B9D49F6398B0EB454,363.4834289550781,1,1,0.06989131,12,17,0.1519462143381436
2396C281D1D04FE843A8C23BB2F624FE,30500.23046875,1,1,0.45383152,15,33,0.0293590675941423
051398A18F85E34EC0B8A833C8D160EC,41535.42578125,1,1,0.90025485,0,2,0.2293923546870549
468E731BDD5836E7BDD93C133444612F,41441.40234375,1,1,0.83663595,0,32,0.0291489035483788
607F9125618B86B1A90E04A181CAABA0,33378.77734375,1,1,0.84454775,4,8,0.1368165731430053
67CF1D105EE94B3444DF605BDBA36CED,42358.68359375,1,1,0.9683705,32,32,0.7215481996536255
E62E112E8509E71EB2E1215B7B085E36,36083.16015625,1,1,0.7839778,24,27,0.1297379005700349
CAD5647FA70FE0A72EAF14AB46507229,41097.97265625,1,1,0.9148867,24,25,0.3005796521902084
588AC4CE39A09E67BCCE005DBAB432B1,40832.30078125,1,1,0.98782176,4,4,0.8437700271606445
85B194D5F76D9C66A42A72DD2547EEE8,42240.1484375,1,1,0.981343,32,32,0.7058271765708923
7F7DA54C9D5D1BFC8BA08A77038C58CB,21110.583984375,1,1,0.31144816,11,19,0.0670676694975958
E3619A22B68F3448A4277A3B4D19C644,42109.8125,1,1,0.98700976,33,33,0.8303305506706238
810CBCEFF3722DF41AB927DED6FAEAFD,41244.08984375,1,1,0.9098989,32,33,0.2873697429895401
77F2AE572B9E78188A3A411029EFC1D8,40743.29296875,1,1,0.38811132,12,32,0.0317674058799942
26E3A942DCF86C77117F931AEA73BBD1,38885.74609375,1,1,0.59092,11,28,0.039441539802485
434281D5B6A3BEB6F9BFE02B90B17E31,37975.1875,1,1,0.5817083,28,33,0.0561844445765018
44ABC842EF8763D10256A2C49D224BEB,39844.2890625,1,1,0.9161776,20,32,0.0642220365564124
B9FACDB7FC23038BA599F503797AA362,13043.3583984375,1,1,0.7835854,20,33,0.0524096076509782
AB8FFF7B6FD05ADD0ECF4515305E4773,36311.20703125,1,1,0.6848085,31,33,0.1181296979387601
2FB08322AEC0F035A4BA7E103D79950E,39134.4296875,1,1,0.9046068,24,32,0.0902009276000575
6568B41CD5113166E7FE87B43A704A87,40908.671875,1,1,0.8648108,3,32,0.0297272413192937
FF82828D2D7F23E0CA6CCD11C37F66F1,41795.09765625,1,1,0.80976444,7,33,0.0330566165675581
38EE4D1D12D03C1A7D534F37E5B430D5,39771.61328125,1,1,0.96402454,9,9,0.5955893397331238
4D0C1A2476DB2FD46AB1E39DD54B38EA,12450.2763671875,1,1,0.18105702,9,12,0.1586823482066393
8376CF3F53575B8F69DF7EF62DEED4FB,41975.98828125,1,1,0.95145655,6,6,0.6157560348510742
CFC7C75E0A033C15E46875C217146F64,41570.5625,1,1,0.97402805,32,33,0.4242522791028023
6FDB63D74BAC34833F2330EC3C897327,41543.03515625,1,1,0.90076935,11,24,0.0491135446354746
9F01F3A14F32E19FB9A4AB8F2ACCAACE,25385.060546875,1,1,0.079658665,11,16,0.1404421366751194
985F3818CFC20B781F3CA200300B6F1A,41871.109375,1,1,0.9337915,24,24,0.5583236813545227
E48A0F7E9BE3E0E5ABEDEBB1A32492B1,42139.984375,1,1,0.9284869,24,33,0.0879087076988071
0C7F9D63727293933BFE4B03588F6C92,22178.359375,1,1,0.16820411,11,17,0.0948338168007986
0E71D2B1635940FA70D9C60301DD02B3,40987.734375,1,1,0.97791517,8,33,0.0371090870735665
E635F4CB5B7323583766A5E5D137DA0F,41196.08203125,1,1,0.90786093,26,32,0.1123482202778437
AC3C72149E35FE7668568057A0B601C7,40890.8359375,1,1,0.6876217,19,29,0.0498182584362273
11000A1CE47BFCA779E5E19C057B087D,41403.49609375,1,1,0.99630535,33,33,0.9265192747116088
2836C7C32FAABDB89E7BEC940F7C8D38,33400.21484375,1,1,0.70812494,7,31,0.0318577646836638
7E7562AC852F29AA85B17C203B099FBB,32945.68359375,1,1,0.8874822,26,32,0.0984197031107864
77C1B603445DEB632E40BFD5E5E0EDF0,30046.34375,1,1,0.10521385,11,17,0.1329578767929758
